 ,name,region,district,difficulty,duration_days,max_altitude_m,min_altitude_m,total_distance_km,cost_min_usd,cost_max_usd,best_season,requires_permit,permit_type,permit_cost_usd,requires_guide,accommodation_type,cultural_score,nature_score,adventure_score,fitness_required,technical_skill,teahouse_available,camping_required,helicopter_rescue,nearest_hospital_km,route_type,avg_daily_walking_hrs,elevation_gain_m,elevation_loss_m,water_sources,mobile_network,atm_available,description,data_source
352,Pikey Peak via Junbesi,Solukhumbu,Solukhumbu,Moderate,4,4065,2675,35,400,750,Spring|Autumn|Winter,No,TIMS only,20,No,Teahouse,0.7,0.85,0.6,Moderate,Basic,Yes,No,Yes,32,Out-and-back,5,1390,1390,Moderate,Partial,No,Alternative Pikey approach,Nepal Tourism Board
353,Dudhkunda Lake Trek,Solukhumbu,Solukhumbu,Hard,8,4560,2400,70,700,1300,Spring|Autumn,No,TIMS only,20,Yes,Camping,0.72,0.88,0.7,High,Intermediate,Yes,Yes,Yes,48,Out-and-back,5,2160,2160,Moderate,Limited,No,Sacred milk lake pilgrimage,Nepal Tourism Board
354,Numbur Cheese Circuit,Solukhumbu,Solukhumbu,Hard,10,4600,2400,85,850,1600,Spring|Autumn,No,TIMS only,20,Yes,Teahouse|Camping,0.7,0.85,0.68,High,Intermediate,Yes,Yes,Yes,52,Loop,5,2200,2200,Moderate,Limited,No,Cheese factory route,Nepal Tourism Board
355,Kharikhola to Bupsa Trek,Solukhumbu,Solukhumbu,Moderate,1,2900,2070,12,100,200,Year-round,No,TIMS only,20,No,Teahouse,0.72,0.75,0.52,Moderate,Basic,Yes,Yes,No,18,One-way,4,830,830,Abundant,Partial,Yes,Classic route segment,Nepal Tourism Board
356,Tumlingtar to Num Trek,Sankhuwasabha,Sankhuwasabha,Moderate,2,1500,400,22,180,350,Year-round,No,TIMS only,20,No,Teahouse,0.78,0.72,0.5,Moderate,Basic,Yes,Yes,No,20,One-way,3,1100,1100,Abundant,Partial,Yes,Makalu trek approach,Nepal Tourism Board
357,Num to Seduwa Trek,Sankhuwasabha,Sankhuwasabha,Hard,1,1600,800,14,120,240,Spring|Autumn,Yes,National Park,3000,No,Teahouse,0.72,0.75,0.58,High,Basic,Yes,Yes,No,22,One-way,4,800,800,Abundant,Partial,Yes,Arun Valley crossing,DNPWC
358,Tashigaon to Khongma La,Sankhuwasabha,Sankhuwasabha,Very Hard,2,4200,2100,18,250,500,Spring|Autumn,Yes,National Park,3000,Yes,Camping,0.52,0.85,0.78,Very High,Intermediate,No,Yes,Yes,38,Traverse,6,2100,2100,Moderate,Limited,No,High pass on Makalu route,DNPWC
359,Yangri Kharka Trek,Sankhuwasabha,Sankhuwasabha,Moderate,1,3600,3100,8,80,160,Spring|Autumn,Yes,National Park,3000,No,Camping,0.55,0.82,0.6,Moderate,Basic,Yes,Yes,No,22,Out-and-back,5,500,500,Moderate,Limited,No,Makalu intermediate camp,DNPWC
360,Sherpani Col Approach,Sankhuwasabha,Sankhuwasabha,Very Hard,5,5100,4800,35,500,1000,Spring|Autumn,Yes,National Park,3000,Yes,Camping,0.4,0.88,0.88,Very High,Advanced,No,Yes,Yes,55,Out-and-back,7,300,300,Moderate,None,No,Technical pass reconnaissance,DNPWC
361,Taplejung to Suketar Walk,Taplejung,Taplejung,Easy,1,2400,1800,8,60,120,Year-round,No,None,0,No,Teahouse,0.78,0.68,0.42,Low,None,Yes,Yes,No,10,Traverse,2,600,600,Abundant,Good,Yes,Kanchenjunga trek start,Nepal Tourism Board
362,Mitlung to Chirwa Trek,Taplejung,Taplejung,Moderate,1,1270,1200,10,80,160,Year-round,Yes,Conservation Area,2000,No,Teahouse,0.72,0.75,0.52,Moderate,Basic,Yes,Yes,No,18,One-way,3,70,70,Abundant,Partial,Yes,Tamur Valley beginning,DNPWC
363,Ghunsa Village Trek,Taplejung,Taplejung,Moderate,2,3430,2800,18,200,400,Spring|Autumn,Yes,Conservation Area,2000,No,Teahouse,0.78,0.78,0.58,Moderate,Basic,Yes,Yes,No,28,Out-and-back,4,630,630,Moderate,Limited,Yes,Tibetan culture village,DNPWC
364,Kambachen Valley Trek,Taplejung,Taplejung,Hard,2,4050,3430,16,200,400,Spring|Autumn,Yes,Conservation Area,2000,No,Teahouse,0.65,0.85,0.68,High,Intermediate,Yes,Yes,Yes,32,Out-and-back,5,620,620,Moderate,Limited,No,Approach to Kanchenjunga,DNPWC
365,Lhonak Valley Trek,Taplejung,Taplejung,Hard,2,4780,4050,18,250,500,Spring|Autumn,Yes,Conservation Area,2000,Yes,Camping,0.55,0.88,0.75,High,Intermediate,No,Yes,Yes,38,Out-and-back,6,730,730,Moderate,Limited,No,North Kanchenjunga approach,DNPWC
366,Pangpema View Trek,Taplejung,Taplejung,Very Hard,2,5140,4780,12,200,400,Spring|Autumn,Yes,Conservation Area,2000,Yes,Camping,0.48,0.92,0.8,Very High,Intermediate,No,Yes,Yes,42,Out-and-back,6,360,360,Moderate,None,No,Kanchenjunga North BC,DNPWC
367,Sele La Pass Approach,Taplejung,Taplejung,Very Hard,3,4480,3800,28,350,700,Spring|Autumn,Yes,Conservation Area,2000,Yes,Camping,0.52,0.85,0.78,Very High,Intermediate,No,Yes,Yes,45,Traverse,6,680,680,Moderate,Limited,No,Connection to south route,DNPWC
368,Yalung Glacier Trek,Taplejung,Taplejung,Very Hard,3,4850,4000,25,350,700,Spring|Autumn,Yes,Conservation Area,2000,Yes,Camping,0.5,0.88,0.8,Very High,Intermediate,No,Yes,Yes,45,Out-and-back,6,850,850,Moderate,None,No,South Kanchenjunga glacier,DNPWC
369,Oktang Viewpoint Trek,Taplejung,Taplejung,Very Hard,1,4730,4600,8,100,200,Spring|Autumn,Yes,Conservation Area,2000,No,Camping,0.52,0.92,0.78,Very High,Intermediate,No,Yes,Yes,35,Out-and-back,6,130,130,Moderate,None,No,Kanchenjunga South BC views,DNPWC
370,Ilam Tea Garden Trek,Ilam,Ilam,Easy,3,2100,1200,28,250,500,Year-round,No,None,0,No,Homestay,0.85,0.75,0.45,Low,None,Yes,Yes,No,22,Loop,2,900,900,Abundant,Good,Yes,Famous tea estate walks,Nepal Tourism Board
371,Sandakphu Border View,Ilam,Ilam,Moderate,4,3636,1800,35,350,700,Spring|Autumn|Winter,No,None,0,No,Teahouse,0.72,0.82,0.58,Moderate,Basic,Yes,No,Yes,32,Out-and-back,4,1836,1836,Moderate,Partial,No,Four highest peaks view,Nepal Tourism Board
372,Mai Pokhari Lake Trek,Ilam,Ilam,Easy,2,2100,1500,16,150,300,Year-round,No,None,0,No,Homestay,0.8,0.78,0.48,Low,None,Yes,Yes,No,15,Out-and-back,2,600,600,Abundant,Good,Yes,Ramsar wetland lake,Nepal Tourism Board
373,Pathibhara Temple Trek,Taplejung,Taplejung,Moderate,4,3794,1200,38,400,750,Spring|Autumn,No,None,0,No,Teahouse,0.88,0.78,0.55,Moderate,Basic,Yes,No,Yes,32,Out-and-back,4,2594,2594,Abundant,Partial,Yes,Important Hindu pilgrimage,Nepal Tourism Board
374,Olangchung Gola Trek,Taplejung,Taplejung,Very Hard,12,4600,1200,120,1200,2400,Spring|Autumn,Yes,Restricted Area,50,Yes,Camping,0.75,0.82,0.75,Very High,Intermediate,No,Yes,Yes,58,Out-and-back,7,3400,3400,Moderate,None,No,Remote Tibetan border village,MOCTCA
375,Chainpur Bazaar Trek,Sankhuwasabha,Sankhuwasabha,Easy,2,1300,400,18,150,300,Year-round,No,None,0,No,Teahouse,0.82,0.68,0.45,Low,None,Yes,Yes,No,15,Out-and-back,2,900,900,Abundant,Good,Yes,Historic Rai market town,Nepal Tourism Board
376,Dharan to Bhedetar Trek,Sunsari,Sunsari,Moderate,2,1420,350,22,180,350,Year-round,No,None,0,No,Teahouse,0.78,0.72,0.5,Moderate,Basic,Yes,Yes,No,20,One-way,3,1070,1070,Abundant,Good,Yes,Hill station from Terai,Nepal Tourism Board
377,Hile to Basantapur Trek,Dhankuta,Dhankuta|Terhathum,Moderate,2,2200,1900,16,150,300,Year-round,No,None,0,No,Teahouse,0.8,0.72,0.48,Moderate,Basic,Yes,Yes,No,18,Traverse,3,300,300,Abundant,Partial,Yes,Eastern hill bazaars,Nepal Tourism Board
378,Basantapur to Tinjure,Terhathum,Terhathum,Hard,3,3120,2200,28,280,550,Spring|Autumn,No,None,0,No,Teahouse,0.72,0.8,0.58,High,Basic,Yes,No,Yes,28,Traverse,4,920,920,Moderate,Partial,No,Rhododendron forest trek,Nepal Tourism Board
379,Tinjure to Milke Trek,Terhathum,Terhathum|Taplejung,Hard,2,3500,3120,18,180,350,Spring,No,None,0,No,Camping,0.6,0.85,0.62,High,Basic,Yes,Yes,Yes,28,Traverse,5,380,380,Moderate,Limited,No,Spring rhododendron blooms,Nepal Tourism Board
380,Milke Danda Ridge Walk,Terhathum,Terhathum|Taplejung|Sankhuwasabha,Hard,5,3950,3000,50,500,950,Spring|Autumn,No,None,0,No,Camping,0.58,0.88,0.68,High,Intermediate,Yes,Yes,Yes,45,Traverse,5,950,950,Moderate,Limited,No,Ridge with Himalayan views,Nepal Tourism Board
381,Phidim to Terhathum Trek,Panchthar,Panchthar|Terhathum,Moderate,4,2000,1200,40,350,700,Year-round,No,None,0,No,Homestay,0.8,0.72,0.52,Moderate,Basic,Yes,Yes,No,32,Traverse,3,800,800,Abundant,Good,Yes,Rural Limbu culture,Nepal Tourism Board
382,Phulbari to Deurali Trek,Panchthar,Panchthar,Moderate,2,2500,1500,18,150,300,Year-round,No,None,0,No,Homestay,0.78,0.75,0.52,Moderate,Basic,Yes,Yes,No,20,Out-and-back,3,1000,1000,Abundant,Partial,Yes,Eastern hills viewpoint,Nepal Tourism Board
383,Okhaldhunga Bazaar Trek,Okhaldhunga,Okhaldhunga,Easy,2,1800,1200,16,140,280,Year-round,No,None,0,No,Teahouse,0.8,0.68,0.45,Low,None,Yes,Yes,No,14,Out-and-back,2,600,600,Abundant,Good,Yes,Historic eastern bazaar,Nepal Tourism Board
384,Rumjatar to Halesi Trek,Okhaldhunga,Okhaldhunga|Khotang,Moderate,3,1900,800,28,250,500,Year-round,No,None,0,No,Teahouse,0.85,0.72,0.5,Moderate,Basic,Yes,Yes,No,25,Traverse,3,1100,1100,Abundant,Partial,Yes,Cave pilgrimage site,Nepal Tourism Board
385,Halesi Mahadev Trek,Khotang,Khotang,Easy,2,1500,800,16,140,280,Year-round,No,None,0,No,Teahouse,0.9,0.7,0.45,Low,None,Yes,Yes,No,14,Out-and-back,2,700,700,Abundant,Good,Yes,Important Hindu-Buddhist site,Nepal Tourism Board
386,Diktel to Aisealukharka,Khotang,Khotang,Moderate,3,2100,1000,28,250,500,Year-round,No,None,0,No,Homestay,0.78,0.72,0.5,Moderate,Basic,Yes,No,Yes,25,Traverse,3,1100,1100,Abundant,Partial,Yes,Rural Rai villages,Nepal Tourism Board
387,Bhojpur Bazaar Trek,Bhojpur,Bhojpur,Easy,2,1600,800,16,140,280,Year-round,No,None,0,No,Teahouse,0.8,0.68,0.45,Low,None,Yes,Yes,No,14,Out-and-back,2,800,800,Abundant,Good,Yes,Famous khukuri town,Nepal Tourism Board
388,Dingla to Bhojpur Trek,Bhojpur,Bhojpur,Moderate,2,1700,1200,18,150,300,Year-round,No,None,0,No,Teahouse,0.75,0.7,0.48,Moderate,Basic,Yes,Yes,No,16,Traverse,3,500,500,Abundant,Partial,Yes,Traditional blacksmith route,Nepal Tourism Board
389,Udayapur Hills Trek,Udayapur,Udayapur,Moderate,3,2000,500,28,250,500,Year-round,No,None,0,No,Homestay,0.78,0.72,0.5,Moderate,Basic,Yes,Yes,No,25,Loop,3,1500,1500,Abundant,Partial,Yes,Inner Terai to hills,Nepal Tourism Board
390,Triyuga Valley Walk,Udayapur,Udayapur,Easy,2,600,200,18,140,280,Year-round,No,None,0,No,Teahouse,0.75,0.7,0.42,Low,None,Yes,Yes,No,15,Loop,2,400,400,Abundant,Good,Yes,Agricultural Terai valley,Nepal Tourism Board
391,Gaighat to Okhaldhunga,Udayapur,Udayapur|Okhaldhunga,Moderate,4,1800,200,45,400,750,Year-round,No,None,0,No,Teahouse,0.72,0.7,0.52,Moderate,Basic,Yes,Yes,No,38,Traverse,4,1600,1600,Abundant,Partial,Yes,Terai to hills traverse,Nepal Tourism Board
392,Dhankuta Hill Station Trek,Dhankuta,Dhankuta,Easy,2,1600,400,16,140,280,Year-round,No,None,0,No,Teahouse,0.8,0.68,0.45,Low,None,Yes,Yes,No,14,Out-and-back,2,1200,1200,Abundant,Good,Yes,Colonial-era hill station,Nepal Tourism Board
393,Hile Ridge Walk,Dhankuta,Dhankuta,Easy,1,2000,1800,8,70,140,Year-round,No,None,0,No,Teahouse,0.75,0.72,0.45,Low,None,Yes,Yes,No,8,Out-and-back,2,200,200,Abundant,Good,Yes,Eastern viewpoint,Nepal Tourism Board
394,Terathum Bazaar Trek,Terhathum,Terhathum,Easy,2,1800,1200,16,140,280,Year-round,No,None,0,No,Teahouse,0.78,0.68,0.45,Low,None,Yes,Yes,No,14,Out-and-back,2,600,600,Abundant,Good,Yes,Historic Limbu center,Nepal Tourism Board
395,Myanglung Village Trek,Terhathum,Terhathum,Easy,1,1600,1400,8,70,140,Year-round,No,None,0,No,Teahouse,0.78,0.68,0.42,Low,None,Yes,Yes,No,7,Out-and-back,2,200,200,Abundant,Good,Yes,District headquarters walk,Nepal Tourism Board
396,Khandbari to Chyangmiteng,Sankhuwasabha,Sankhuwasabha,Moderate,2,2200,1100,18,150,300,Year-round,No,None,0,No,Homestay,0.75,0.72,0.5,Moderate,Basic,Yes,Yes,No,18,Out-and-back,3,1100,1100,Abundant,Partial,Yes,Rai cultural villages,Nepal Tourism Board
397,Siddhicharan Trek,Bhojpur,Bhojpur|Khotang,Moderate,4,2400,800,40,350,700,Year-round,No,None,0,No,Homestay,0.72,0.72,0.52,Moderate,Basic,Yes,No,Yes,35,Traverse,4,1600,1600,Abundant,Partial,Yes,Named for Nepali poet,Nepal Tourism Board
398,Salpa Pokhari Trek,Solukhumbu,Solukhumbu,Hard,6,3415,1800,55,550,1050,Spring|Autumn,No,TIMS only,20,No,Camping,0.68,0.85,0.65,High,Intermediate,Yes,Yes,Yes,45,Out-and-back,5,1615,1615,Moderate,Limited,No,Sacred lake pilgrimage,Nepal Tourism Board
399,Khiraulekharka Trek,Bhojpur,Bhojpur|Solukhumbu,Hard,5,3800,1200,48,500,950,Spring|Autumn,No,TIMS only,20,No,Camping,0.62,0.82,0.62,High,Intermediate,Yes,Yes,Yes,42,Traverse,5,2600,2600,Moderate,Limited,No,Alternative Everest approach,Nepal Tourism Board
400,Arun Valley to Makalu,Sankhuwasabha,Sankhuwasabha,Very Hard,16,5300,400,150,1800,3400,Spring|Autumn,Yes,National Park,3000,Yes,Camping,0.55,0.92,0.82,Very High,Intermediate,No,Yes,Yes,65,Traverse,7,4900,4900,Moderate,Limited,No,Complete Arun to Makalu traverse,DNPWC
